start_bus_stop,end_bus_stop
1752,-1
-1,-1
-1,-1
4364,-1
-1,-1
-1,-1
-1,1752
-1,-1
-1,-1
3821,-1
-1,-1
-1,-1
-1,-1
4398,6150
-1,6150
-1,6150
-1,1752
-1,-1
-1,-1
-1,-1
-1,-1
4406,-1
4406,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1920,1752
1920,-1
1920,-1
1920,-1
1920,-1
1920,1909
1920,-1
1920,-1
1686,1752
1686,-1
1686,1686
-1,-1
-1,-1
-1,4406
-1,4406
6009,-1
6009,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1752
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4401
-1,4401
-1,4401
-1,-1
-1,4406
-1,50
-1,-1
-1,1686
-1,1686
-1,1686
-1,-1
-1,-1
-1,-1
2707,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1752,-1
1752,-1
1752,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,5038
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1076,-1
4406,-1
-1,-1
-1,-1
50,50
6111,-1
6111,50
6111,50
-1,1076
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1909,-1
1909,-1
1909,-1
1909,-1
1920,-1
1920,-1
1920,-1
1920,-1
1920,-1
1920,1920
1920,2908
1920,2908
1920,-1
2908,3777
2908,1920
2908,1920
1686,1686
-1,-1
-1,-1
446,-1
-1,-1
-1,6029
-1,-1
-1,-1
-1,1754
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
4401,4401
1076,1076
1076,-1
50,1909
6111,-1
-1,4401
1920,-1
1920,-1
1920,-1
2908,1909
2908,6009
4172,-1
1686,-1
-1,-1
6009,4398
-1,-1
-1,6009
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1832,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
4401,4401
4401,4401
4401,4401
4401,4401
-1,4401
-1,-1
-1,-1
-1,-1
6009,-1
6009,1076
-1,-1
-1,-1
4390,-1
4390,3822
4390,-1
4390,-1
-1,-1
4169,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,2908
1076,-1
-1,-1
1909,-1
-1,-1
-1,-1
-1,1652
-1,-1
-1,-1
-1,-1
-1,-1
3822,-1
4390,-1
1752,-1
-1,-1
-1,-1
-1,-1
-1,2908
-1,-1
5056,-1
1752,-1
-1,6111
-1,-1
-1,-1
-1,-1
-1,-1
4398,1768
-1,-1
-1,-1
4401,4401
4401,-1
-1,1768
-1,-1
-1,-1
1920,442
2908,4723
-1,1920
-1,-1
-1,-1
1768,1980
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,3822
-1,-1
-1,-1
-1,1909
-1,-1
-1,-1
-1,-1
-1,1920
-1,1686
-1,6111
1888,-1
1652,50
1686,-1
-1,1888
-1,6111
-1,-1
-1,-1
-1,-1
-1,-1
3822,6009
-1,1909
-1,442
2060,-1
1531,-1
-1,-1
-1,6111
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1754,-1
1754,3821
1754,-1
3777,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,6150
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,2908
-1,-1
6150,6150
6150,-1
-1,2908
-1,-1
-1,-1
4401,-1
4401,-1
-1,-1
-1,-1
-1,-1
1076,-1
-1,1888
-1,4390
-1,-1
-1,-1
-1,-1
6111,-1
-1,-1
-1,6111
1920,-1
1920,-1
1920,1888
1888,-1
-1,-1
-1,-1
4723,-1
-1,1768
-1,-1
-1,-1
2739,-1
-1,-1
-1,-1
-1,-1
3822,1073
-1,-1
-1,1768
-1,1920
-1,-1
-1,-1
-1,6009
-1,-1
-1,-1
-1,-1
-1,-1
-1,2739
-1,-1
-1,-1
-1,-1
-1,-1
2060,-1
2060,-1
2060,-1
-1,-1
-1,-1
-1,-1
-1,-1
1531,446
-1,2931
-1,-1
6029,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4398
-1,-1
-1,6150
-1,2908
6150,-1
-1,-1
-1,-1
-1,-1
-1,1076
-1,-1
-1,-1
-1,3777
-1,-1
-1,2931
-1,1076
50,6111
50,1073
6111,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,2908
-1,6150
-1,-1
-1,-1
1073,1073
-1,-1
-1,4390
-1,-1
-1,1920
1768,446
446,-1
446,-1
446,-1
5061,1073
-1,-1
-1,-1
-1,-1
4390,-1
4390,-1
-1,-1
-1,-1
2060,1909
2060,-1
2060,2060
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,446
-1,-1
-1,-1
-1,1073
-1,-1
-1,-1
-1,-1
6150,3821
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1888
1076,-1
-1,-1
-1,1073
50,-1
50,4401
6111,-1
6111,-1
-1,2739
-1,-1
-1,-1
1920,2908
1920,1888
-1,-1
-1,-1
-1,4401
-1,-1
-1,-1
-1,6029
-1,-1
1980,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
2931,-1
2931,-1
-1,-1
-1,-1
-1,4045
-1,-1
-1,-1
-1,-1
-1,446
-1,-1
-1,-1
2060,-1
1531,1531
1531,1531
1531,1531
1531,1531
-1,-1
-1,-1
-1,6131
-1,-1
-1,-1
-1,-1
-1,-1
-1,2754
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1939,-1
1889,-1
-1,2931
-1,-1
-1,1939
-1,446
-1,3346
-1,-1
6150,1073
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1920
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4390
-1,-1
-1,-1
-1,-1
1076,-1
-1,6111
-1,-1
-1,-1
-1,-1
4406,-1
-1,-1
-1,6009
50,3346
50,-1
6111,6111
6111,6111
-1,-1
-1,-1
-1,6111
-1,1686
-1,-1
-1,-1
-1,-1
1920,-1
1920,6111
1920,-1
1920,-1
2908,-1
2908,-1
1888,-1
1888,2908
1888,-1
1686,-1
4045,-1
-1,1076
4723,-1
-1,1768
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1073,-1
1073,-1
1073,-1
6009,1686
-1,-1
2739,-1
2739,2908
2739,-1
-1,-1
-1,-1
-1,-1
-1,-1
446,446
3822,-1
-1,-1
-1,-1
-1,1920
-1,4406
-1,-1
-1,-1
-1,-1
-1,6009
-1,-1
-1,-1
-1,-1
-1,-1
-1,1073
-1,1073
-1,2060
-1,-1
-1,-1
-1,-1
-1,-1
2060,-1
-1,-1
-1,442
-1,442
-1,2060
-1,-1
1531,-1
1531,-1
1531,1531
1531,1531
1531,1531
-1,-1
-1,-1
-1,-1
-1,-1
6131,-1
6131,-1
6131,-1
6029,-1
-1,-1
-1,-1
-1,-1
-1,-1
3777,3777
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1531
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4723
-1,-1
-1,-1
-1,-1
-1,-1
-1,1073
-1,1920
-1,-1
-1,-1
6150,-1
-1,4398
-1,-1
-1,-1
-1,6150
-1,6009
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
4401,1064
-1,4398
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1076,-1
-1,1888
-1,-1
-1,4406
50,-1
6111,-1
6111,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4401
1909,-1
1909,6111
1909,-1
1920,-1
1920,-1
1920,2908
1920,-1
1920,-1
2908,-1
2908,-1
2908,50
1652,1652
1652,1686
1686,1652
-1,-1
-1,-1
-1,-1
-1,-1
1685,-1
-1,-1
-1,-1
-1,-1
-1,1073
4723,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4390
-1,1686
-1,-1
-1,1888
-1,-1
-1,2739
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1073,1909
1073,-1
-1,1888
-1,2739
-1,-1
-1,1685
2931,-1
2931,2931
2931,-1
2931,-1
2739,6150
-1,-1
-1,1073
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1768,1768
-1,-1
442,1768
442,-1
442,-1
3822,-1
-1,-1
-1,-1
-1,-1
-1,1768
-1,442
4390,-1
4390,446
-1,-1
-1,2739
-1,-1
-1,2060
2060,-1
2060,-1
2060,-1
2060,-1
-1,-1
-1,442
-1,-1
1531,-1
1531,-1
-1,442
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
6131,-1
-1,-1
-1,-1
-1,6029
3816,-1
-1,-1
-1,3816
-1,-1
-1,-1
-1,-1
-1,-1
3776,-1
1889,-1
-1,-1
-1,2060
-1,-1
-1,6150
-1,-1
-1,-1
-1,3821
-1,1920
-1,-1
-1,-1
-1,-1
-1,50
-1,-1
-1,-1
-1,-1
-1,-1
4398,-1
4398,-1
6150,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1920
4401,50
-1,1076
3346,-1
3346,-1
-1,-1
-1,-1
-1,1920
-1,50
-1,-1
-1,-1
-1,-1
1076,-1
-1,-1
4406,-1
-1,-1
-1,6111
50,-1
-1,-1
-1,1920
-1,-1
-1,1920
-1,1652
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1909,-1
1888,-1
1888,-1
1888,-1
1686,-1
-1,-1
4074,3046
-1,-1
-1,-1
-1,-1
-1,-1
-1,6009
-1,50
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,4390
-1,-1
-1,-1
-1,-1
-1,1076
1073,-1
1073,3822
6009,-1
6009,-1
6009,-1
6009,-1
6009,-1
6009,-1
-1,-1
-1,-1
-1,4074
-1,2413
-1,-1
-1,-1
2739,-1
-1,-1
-1,446
-1,-1
-1,-1
1768,-1
1768,-1
446,-1
446,-1
-1,-1
-1,-1
-1,-1
442,1920
3822,1920
3822,-1
-1,6009
-1,-1
-1,4045
-1,-1
-1,-1
-1,-1
-1,-1
-1,6009
-1,-1
-1,-1
-1,-1
-1,4169
-1,-1
-1,-1
-1,-1
-1,-1
-1,2739
-1,-1
-1,1531
1531,-1
1531,-1
1531,-1
1531,-1
1531,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
2754,-1
360,-1
360,-1
-1,-1
-1,-1
3777,3777
-1,236
-1,-1
-1,-1
-1,-1
-1,-1
-1,360
-1,-1
-1,360
-1,-1
-1,-1
-1,-1
236,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,2805
-1,-1
