start_cluster_group,end_cluster_group
65,138
65,138
65,138
16,26
133,89
138,65
138,65
138,138
138,147
26,26
138,47
138,47
26,26
26,26
26,26
26,26
138,65
138,27
138,138
138,132
138,26
138,133
138,132
138,93
138,65
138,27
74,26
74,138
138,74
74,65
74,138
74,26
74,74
74,74
74,74
74,74
74,74
74,65
74,138
74,74
89,138
74,138
89,138
89,138
74,57
74,57
74,74
74,57
74,138
74,74
74,74
74,133
74,133
74,65
74,138
74,138
74,138
74,138
74,138
74,26
74,138
74,138
74,138
74,138
74,138
74,26
74,26
74,26
74,26
74,138
74,74
74,74
74,74
74,74
74,74
74,135
57,74
57,74
1,74
57,57
62,62
147,63
47,47
47,47
65,133
65,133
65,74
133,133
138,111
26,26
138,138
138,111
138,133
138,76
138,1
138,74
138,138
138,138
138,138
26,26
138,138
138,138
138,65
26,73
138,138
138,138
138,1
138,138
26,73
74,74
138,133
138,138
138,138
74,74
74,0
74,74
74,74
74,74
74,74
74,74
74,113
74,26
138,89
51,51
74,0
74,26
74,138
74,51
74,101
74,138
74,74
74,74
74,74
74,74
74,74
74,74
74,74
74,133
74,74
74,74
74,74
89,1
74,113
74,89
57,57
63,62
65,26
133,65
138,133
133,26
138,74
138,138
26,74
26,74
138,133
138,74
26,74
26,26
74,74
74,1
74,74
74,57
74,26
74,74
74,74
74,57
74,74
74,74
74,74
74,89
89,89
74,26
74,1
74,74
74,74
74,138
89,138
1,1
1,3
1,89
57,26
57,57
57,65
57,26
57,26
57,57
57,57
57,57
1,63
57,62
133,133
133,138
65,116
133,65
138,133
26,57
26,57
26,57
138,133
26,26
26,26
138,26
26,26
26,26
26,26
26,26
26,26
74,26
74,57
74,26
74,138
74,74
74,74
57,57
1,38
1,74
1,57
1,57
1,89
1,89
57,114
113,74
5,5
5,5
26,82
138,74
74,89
74,133
74,74
74,1
74,5
89,74
74,74
74,74
74,74
74,26
74,57
1,1
65,65
26,26
74,138
89,1
1,74
65,65
65,138
65,65
133,74
65,65
138,138
26,138
26,26
26,74
26,74
138,74
26,26
26,26
138,74
138,133
74,133
74,57
74,74
89,74
74,74
74,74
74,145
74,74
1,74
57,1
57,57
57,26
111,34
111,145
133,82
65,133
65,138
138,74
26,26
26,26
26,74
138,74
17,138
138,74
26,74
26,138
138,74
138,74
74,74
138,74
74,1
74,74
74,89
89,74
74,74
51,74
89,138
3,102
57,26
74,74
57,74
57,57
57,74
57,57
57,74
57,74
63,74
27,27
133,74
65,133
65,92
133,133
133,26
133,138
133,74
138,138
65,74
26,26
26,133
26,26
138,65
26,74
26,138
138,133
138,74
138,74
138,138
26,26
26,74
138,74
138,74
138,74
26,133
26,74
