stop_id,stop_code,stop_name,stop_lat,stop_lon
112112,112112,Crescent Heights High School,51.060931,-114.065158
112113,112113,12 AV NW @ 1 ST NW - Crescent Heights,51.062419,-114.06526
2018,2018,NB Country Village LI south of Country Village Rd,51.15855,-114.067715
2020,2020,NB 69 ST SW @ Elmont DR,51.028872,-114.187317
2021,2021,SB 69 ST SW @ Elmont DR,51.028489,-114.187737
2024,2024,SB Edmonton TR @ 6 AV NE,51.05773,-114.054426
2030,2030,SB 7 ST SW @ 7 AVE SW,51.047054,-114.078824
2031,2031,WB Nolan Hill Gate @ Shanappi Tr NW,51.179856,-114.161529
2032,2032,SB Nolan Hill Dr @ NolanCrest Heights NW,51.176284,-114.162167
2033,2033,SB Nolan Hill Dr @ Nolanfield Rd NW,51.172971,-114.160688
2034,2034,EB Nolan Hill Blvd farside Nolan Hill Dr,51.171528,-114.159184
2035,2035,NB Nolan Hill Dr @ Nolanfield Rd NW,51.172571,-114.160533
2036,2036,NB Nolan Hill Dr @ Nolanfield Ln NW,51.174407,-114.160997
2037,2037,NB Nolan Hill Dr @ Nolanfield Hts NW,51.176731,-114.162292
2038,2038,EB Nolan Hill Gate @ Nolanfield Way NW,51.179002,-114.162744
2039,2039,WB Nolan Hill Blvd @ Shaganappi Tr NW,51.172536,-114.155891
2112,2112,EB Auburn Bay DR @ S.LEG Auburn Glen HT SE,50.894138,-113.95618
2113,2113,EB Auburn Bay DR @ Auburn Glen GR SE,50.897821,-113.952971
2114,2114,EB Auburn Bay DR @ Auburn Glen DR SE,50.898734,-113.950382
2115,2115,EB Auburn Bay DR @ 56 ST SE,50.899194,-113.947193
2116,2116,EB Mahogany BV @ Mahogany GA SE,50.899358,-113.93762
2118,2118,WB Mahogany GA @ Mahogany BV SE,50.899631,-113.937671
2119,2119,WB Auburn Bay DR @ Auburn Meadows BV,50.899352,-113.948024
2120,2120,WB Auburn Bay DR @ Auburn Glen DR SE,50.898166,-113.952893
2121,2121,WB Auburn Bay DR @ Auburn Glen GR SE,50.897618,-113.953707
2122,2122,WB Auburn Bay DR @ Auburn Glen WY SE,50.895969,-113.955087
2123,2123,WB Cranston DR @ Cranston BV,50.891879,-113.985865
2124,2124,SB Cranston DR @ Cranston GA SE,50.888279,-113.988168
2125,2125,SB Cranston DR @ Cranston WY SE,50.885849,-113.98823
2126,2126,EB Cranston DR @ W. Leg Cranridge HT SE,50.882874,-113.986014
2127,2127,EB Cranston DR @ Cranridge TC SE,50.881978,-113.981265
2128,2128,NB New Brighton DR @ New Brighton AV SE,50.921817,-113.936465
2129,2129,EB New Brighton DR @ New Brighton HT SE,50.916486,-113.940834
2130,2130,EB New Brighton DR @ New Brighton PA SE,50.917433,-113.937045
2131,2131,EB New Brighton DR @ New Brighton GV SE,50.919602,-113.935511
2132,2132,WB New Brighton DR @ BrightonCrest PT SE,50.923482,-113.938641
2133,2133,WB New Brighton DR @ BrightonCrest TC SE,50.922111,-113.942857
2134,2134,WB New Brighton DR @ BrightonCrest RI SE,50.921989,-113.946441
2135,2135,WB New Brighton DR @ BrightonCrest MR SE,50.924384,-113.949381
2148,2148,WB 14 AV SW @ Ascot DR,51.045264,-114.220049
2149,2149,Tuscany Station - Rocky Ridge Terminal,51.135152,-114.234723
2150,2150,Tuscany Station - Rocky Ridge Terminal,51.134969,-114.23487
2151,2151,Tuscany Station - Rocky Ridge Terminal,51.134823,-114.234991
2152,2152,Tuscany Station - Tuscany Terminal,51.133837,-114.235604
2153,2153,Tuscany Station - Tuscany Terminal,51.133597,-114.235268
2155,2155,SB 23 ST NE @ 37 AV NE,51.086447,-114.00518
2156,2156,SB 23 ST NE @ 35 AV NE,51.083712,-114.005231
2157,2157,NB 23 ST NE @ 35 AV NE,51.083995,-114.00499
2158,2158,NB 23 ST NE @ 32 AV NE,51.082219,-114.004926
2164,2164,EB Shawville GA @ Shawville LI SE,50.898931,-114.064968
2165,2165,SB 5 ST SW @ 5 AV SW,51.048407,-114.073879
2166,2166,EB 17AV SE @ 65 ST SE,51.037756,-113.93853
2177,2177,EB 17 AV SE @ 68 ST SE,51.037706,-113.934228
2178,2178,EB 17 AV SE @ 70 ST SE,51.03772,-113.929609
2179,2179,WB 17 AV SE @ 68 ST SE,51.037906,-113.936009
2180,2180,WB 17 AV SE @ 70 ST SE,51.037937,-113.931015
2234,2234,WB 6 AV SE @ 1 ST SE,51.047488,-114.061551
